Gene_symbol,Uniprot_ID
AMBRA1,Q9C0C7
ATG10,Q9H0Y0
ATG101,Q9BSB4
ATG12,O94817
ATG13,O75143
ATG14,Q6ZNE5
ATG16L1,Q676U5
ATG16L2,Q8NAA4
ATG2A,Q2TAZ0
ATG2B,Q96BY7
ATG3,Q9NT62
ATG4A,Q8WYN0
ATG4B,Q9Y4P1
ATG4C,Q96DT6
ATG4D,Q86TL0
ATG5,Q9H1Y0
ATG7,O95352
ATG9A,Q7Z3C6
BECN1,Q14457
FYCO1,Q9BQS8
GABARAP,O95166
GABARAPL1,Q9H0R8
GABARAPL2,P60520
MAP1LC3A,Q9H492
MAP1LC3B,Q9GZQ8
MAP1LC3B2,A6NCE7
MAP1LC3C,Q9BXW4
PIK3C3,Q8NEB9
PIK3R4,Q99570
RB1CC1,Q8TDY2
SQSTM1,Q13501
TECPR1,Q7Z6L1
ULK1,O75385
ULK2,Q8IYT8
UVRAG,Q9P2Y5
WIPI1,Q5MNZ9
WIPI2,Q9Y4P8
