drug name,PDOD score
Lepirudin,-0.49615384615384617
Denileukin diftitox,-0.14082481687926396
Bivalirudin,-0.49615384615384617
Leuprolide,0.3887179487179487
Cetuximab,-0.35677861427032914
Peginterferon alfa-2a,0.3333333333333333
Sermorelin,0.32818348725632246
Alteplase,-0.060877815525186736
Etanercept,-0.35252455494826207
Darbepoetin alfa,0.4231132672658841
Interferon alfa-n1,0.3333333333333333
Goserelin,0.42641025641025637
Reteplase,0.10740122543016861
Salmon calcitonin,0.0
Erythropoietin,0.4231132672658841
Pegfilgrastim,0.0
Interferon alfa-n3,0.3333333333333333
Urokinase,0.03573477021168298
Peginterferon alfa-2b,0.3333333333333333
Thyrotropin alfa,0.46410256410256406
Sargramostim,0.37347557319862507
Anakinra,-0.28088632398977226
Anistreplase,0.10740122543016861
"Antihemophilic factor, human recombinant",-0.19484867902430217
Insulin human,-0.16254751493041372
Human immunoglobulin G,-0.37232563887655323
Menotropins,-0.4641025641025642
Interferon gamma-1b,-0.41339985328932016
"Interferon alfa-2a, Recombinant",-0.3333333333333333
Tenecteplase,-0.1389741856581471
Desmopressin,-0.06358764146222062
Oprelvekin,0.42948717948717946
Coagulation factor VIIa Recombinant Human,-0.22694391560503152
Glucagon,0.216025641025641
Aldesleukin,0.4226396724877341
Botulinum Toxin Type B,-0.47147338412900486
Palifermin,-0.4381930974789684
Lutropin alfa,0.46410256410256406
Lyme disease vaccine (recombinant OspA),-0.42948717948717946
Omalizumab,-0.46105241829290944
Insulin lispro,-0.04359394550581732
Insulin glargine,-0.04359394550581732
Adalimumab,-0.5307692307692308
Cetrorelix,-0.42641025641025637
Collagenase clostridium histolyticum,-0.3906791406791406
Somatotropin,-0.275223457247508
Abciximab,-0.41492910472315564
Gemtuzumab ozogamicin,-0.2903880603105146
Alpha-1-proteinase inhibitor,-0.432051282051282
Interferon beta-1a,0.0
Pegademase,-0.5262118302082311
Eptifibatide,-0.49615384615384617
Infliximab,-0.5307692307692308
Drotrecogin alfa,-0.21428574285032476
Follitropin,0.46410256410256406
Interferon beta-1b,0.3333333333333333
Vasopressin,-0.06358764146222062
Interferon alfacon-1,-0.3333333333333333
Hyaluronidase (ovine),-0.5705200594027696
Rituximab,0
Trastuzumab,-0.48076923076923067
Basiliximab,-0.4225705927633787
Ibritumomab tiuxetan,0
Tositumomab,-0.3294499969998791
Muromonab,-0.46939286110512884
Pegvisomant,-0.27058823529411763
