drug name,PDOD score
0_0,-0.316770260202309
0_4,-0.19268212100026536
0_3,-0.35282561492534215
0_5,-0.0628550175200884
0_1,-0.27153398700302706
0_7,-0.1522213796979375
0_2,-0.23268838945122539
0_6,-0.07935099759220039
0_9,-0.26652052848360813
0_10,-0.36862063154119634
0_12,-0.2858869842168202
0_11,-0.26880197829798674
0_14,-0.2814473539944192
0_8,-0.21688480191269172
0_13,-0.3059117317402937
0_17,-0.09676155798874991
0_19,-0.1717513375393075
0_15,-0.3137627977416672
0_18,-0.12334271819898437
0_16,-0.08374178283591432
2_2,-0.20635938476049812
2_4,-0.08787218887937
1_5,-0.18475048369802377
2_6,-0.20729999091378273
2_1,-0.23964766738604065
2_0,-0.18652855874353416
1_7,-0.25283686918024134
1_0,-0.2093370797546388
2_9,-0.1479994795301104
2_10,-0.2284507086225794
2_7,-0.18524963956751284
2_19,-0.08712819245676837
2_5,-0.04237381844967088
1_6,-0.24299194985153327
2_3,-0.07309756658088705
2_8,-0.24075600955517096
1_11,-0.19559101665948106
1_2,-0.1787098777351143
2_11,-0.3253962475307591
2_15,-0.14985299705546604
3_0,-0.31053960832518795
1_3,-0.31892951272214065
2_12,-0.21315065072431708
2_13,-0.21301325471431587
1_10,-0.2274882224814348
1_13,-0.20393590481877313
2_16,-0.06417917479226591
1_9,-0.29461260360099856
1_1,-0.15009034018255257
1_8,-0.2143591051567294
2_14,-0.07463696360882867
2_17,-0.12276272237371032
2_18,-0.24235660032878903
1_12,-0.1996772496756514
1_15,-0.19080581255102616
3_8,-0.20667057656002902
1_18,-0.22373866130499176
1_4,-0.14020422201246352
3_4,-0.18681797805709263
1_16,-0.21792551141188682
3_2,-0.2300522602633446
3_7,-0.16542249675989598
3_3,-0.35059141864236437
3_1,-0.26978813225404746
1_14,-0.27485926998991095
3_9,-0.26652052848360813
1_17,-0.16705408849007036
3_5,-0.05035906866367214
3_13,-0.31983709248530184
1_19,-0.18598415254949377
3_14,-0.2820941452495682
3_6,-0.09142448225339171
3_12,-0.2902174486234416
4_0,-0.27163642835847696
4_3,-0.35282561492534215
3_11,-0.257296960296877
4_4,-0.2066927483220605
3_15,-0.3257799079046499
3_17,-0.10562362466848232
3_10,-0.37067812554843665
3_16,-0.07406270785917747
4_8,-0.22000555575696903
3_18,-0.12162083231145956
4_1,-0.27451035334203344
3_19,-0.15444779175548606
4_6,-0.08539313411626709
4_18,-0.13356312093982717
4_5,-0.06668214053532787
4_2,-0.24655856251362052
4_14,-0.2845803711933732
4_12,-0.2858869842168202
4_10,-0.37175364874015043
4_11,-0.26308831899948676
4_9,-0.2732634351743129
5_0,-0.13808010311082644
4_7,-0.14970121076100848
4_16,-0.08374178283591432
5_2,-0.2728239731423249
5_4,-0.1960745977819341
4_17,-0.09378519164974361
5_3,-0.1804003421593891
4_13,-0.30904474893924777
5_9,0.029810017827460317
4_15,-0.31577606114588197
5_6,-0.328797259951057
5_1,-0.3248862876417004
5_8,-0.28385349718917585
4_19,-0.168937302559091
5_10,-0.2141410824573713
5_15,-0.2530989168945179
5_11,-0.10076944443120076
5_13,-0.0696700834270101
5_14,-0.2133728462964105
5_5,-0.33360168309505317
5_12,-0.23720291582787792
5_7,-0.2462565647125933
5_16,-0.09245183427529208
5_18,-0.3292123005730365
5_17,-0.3053201380506952
5_19,-0.16122576041237613
7_2,-0.35758354673666803
7_1,-0.2224394870894821
7_0,-0.24188731319490178
7_3,-0.04602382955410786
6_5,-0.3583537609433103
7_6,-0.34857038203184143
7_7,-0.25059106341134385
7_9,-0.18383692109587205
6_3,-0.21676810862065063
6_1,-0.14150471798196812
6_4,-0.10481282667246339
7_4,-0.26634138251050116
7_5,-0.1619626360162346
7_10,-0.06833491437966077
7_8,-0.21259557643254168
6_2,-0.1812186387590841
7_16,-0.12886255218829076
7_15,-0.21590838015302893
6_8,-0.17010785229942757
7_11,-0.19543370109269026
7_17,-0.27355693556940525
7_12,-0.12401122562723861
6_14,-0.2666327648409521
7_19,-0.15260726887525075
7_14,-0.16928318549675692
6_9,-0.18794297150301648
8_3,-0.04602382955410786
7_13,-0.14604555253217028
8_0,-0.24188731319490178
6_0,-0.2227830586534323
8_6,-0.34857038203184143
8_7,-0.25059106341134385
6_18,-0.2156003460014274
6_19,-0.18264424243662442
6_11,-0.22006965245944568
8_8,-0.21259557643254168
7_18,-0.30431950214702713
8_9,-0.18383692109587205
8_2,-0.35758354673666803
6_6,-0.2601271774415965
6_16,-0.08334336197746996
8_4,-0.26634138251050116
6_13,-0.2176311350557139
8_1,-0.2224394870894821
6_10,-0.23867623731806067
8_10,-0.06833491437966077
8_5,-0.1619626360162346
8_15,-0.21590838015302893
8_13,-0.14604555253217028
8_11,-0.19543370109269026
6_7,-0.2489399419066182
9_0,-0.24188731319490178
9_6,-0.34857038203184143
6_15,-0.29616946445202835
8_17,-0.27355693556940525
8_12,-0.12401122562723861
6_12,-0.22289509965786777
9_2,-0.35758354673666803
9_1,-0.2224394870894821
8_19,-0.15260726887525075
8_14,-0.16928318549675692
6_17,-0.25451469472268357
9_4,-0.26634138251050116
9_5,-0.1619626360162346
9_9,-0.18383692109587205
9_11,-0.19543370109269026
9_15,-0.21590838015302893
8_18,-0.30431950214702713
9_3,-0.04602382955410786
8_16,-0.12886255218829076
9_7,-0.25059106341134385
9_8,-0.21259557643254168
9_10,-0.06833491437966077
9_14,-0.16928318549675692
10_2,-0.35758354673666803
10_1,-0.2224394870894821
10_4,-0.26634138251050116
9_19,-0.15260726887525075
10_0,-0.24188731319490178
9_13,-0.14604555253217028
9_17,-0.27355693556940525
10_6,-0.34857038203184143
9_12,-0.12401122562723861
10_7,-0.25059106341134385
9_18,-0.30431950214702713
10_12,-0.12401122562723861
10_11,-0.19543370109269026
10_3,-0.04602382955410786
10_8,-0.21259557643254168
10_9,-0.18383692109587205
10_13,-0.14604555253217028
10_5,-0.1619626360162346
9_16,-0.12886255218829076
11_2,-0.35758354673666803
10_15,-0.21590838015302893
10_19,-0.15260726887525075
10_14,-0.16928318549675692
10_17,-0.27355693556940525
10_16,-0.12886255218829076
11_1,-0.2224394870894821
10_10,-0.06833491437966077
11_4,-0.26634138251050116
11_7,-0.25059106341134385
11_0,-0.24188731319490178
11_6,-0.34857038203184143
11_3,-0.04602382955410786
11_14,-0.16928318549675692
11_12,-0.12401122562723861
11_8,-0.21259557643254168
11_5,-0.1619626360162346
11_13,-0.14604555253217028
11_10,-0.06833491437966077
11_19,-0.15260726887525075
10_18,-0.30431950214702713
11_16,-0.12886255218829076
11_9,-0.18383692109587205
11_11,-0.19543370109269026
12_0,-0.17496675451945654
12_2,-0.29031183100640845
12_1,-0.35550207076375584
12_4,-0.2139379884470887
11_15,-0.21590838015302893
11_17,-0.27355693556940525
12_3,-0.1861435414399748
11_18,-0.30431950214702713
12_7,-0.27642454426934693
12_10,-0.2146362634671911
12_6,-0.35802436318653935
12_14,-0.2188309417050548
12_5,-0.3532808699235329
12_12,-0.26187561762890843
12_8,-0.2974282362088989
12_16,-0.11350597077288957
12_11,-0.1155044893584522
12_9,0.00025233602053932304
13_0,-0.16974377800983517
12_15,-0.26323601244257316
13_2,-0.21198422981479978
12_13,-0.07725697751079928
12_18,-0.30206397098676235
12_19,-0.16299982098067076
13_5,-0.13556317028506573
13_4,-0.04277450830283035
13_1,-0.2750061307278731
13_3,-0.09244413786259952
13_6,-0.16311139402794206
12_17,-0.3263868433530898
13_8,-0.19058529280756345
13_11,-0.2366519732225728
13_10,-0.24704181062045358
13_9,-0.1742440992788421
13_7,-0.17533098194810529
13_12,-0.23125549886558475
13_14,-0.0969913230891942
13_13,-0.2440929739486594
13_16,-0.07919224031490686
13_19,-0.10854554796445888
13_18,-0.2699046985086688
13_17,-0.1111944508786526
13_15,-0.05146077903921166
15_1,-0.20418621454629077
14_2,-0.17807081931528307
14_0,-0.30245262227948155
14_4,-0.2511723753238372
15_2,-0.2164475471120451
15_6,-0.15441869264667568
14_5,-0.12961728578902262
14_11,-0.1483007564153094
14_6,-0.10844127903390523
15_9,-0.23055832708141913
15_11,-0.09374231165093504
15_0,-0.25750364901228623
14_7,-0.353831789953218
14_1,-0.273752841830422
15_3,-0.3255655901266674
15_12,-0.17853584174350431
15_10,-0.14879553465445727
15_5,-0.273123407162936
15_8,-0.21544807585090128
15_4,-0.1308201217846966
14_3,-0.11918326727808852
14_8,-0.2561203994085606
15_18,-0.26001898412275726
15_7,-0.35284516651289366
14_12,-0.23140950601253726
15_16,-0.1796624257575672
14_13,-0.3069131023985671
15_15,-0.19306803739414974
14_9,-0.21355888816460372
14_18,-0.13193024603453452
14_15,-0.18651841935199182
15_17,-0.12553613175838924
15_19,-0.26784465358773824
15_14,-0.06828861248855105
15_13,-0.15213912306198202
14_16,-0.2652594321630832
14_14,-0.2350796279174928
14_10,-0.19295843977059426
14_17,-0.30007149268177385
14_19,-0.22686263924262906
17_2,-0.33241160607346815
17_5,-0.3506701309784217
17_0,-0.15549217922973413
17_4,-0.19558949748897997
17_6,-0.36142151256622557
17_9,0.026849242219130213
17_3,-0.19596737305522496
16_11,-0.20154761639299276
16_5,-0.18585898181829233
16_3,-0.1830134783008115
17_1,-0.37038371556588023
16_1,-0.1567262939495745
17_13,-0.07680765925983939
17_7,-0.25672373845580865
17_10,-0.25104472017545976
17_15,-0.24484085697614424
16_9,-0.17976289967370024
16_0,-0.11584274269773313
16_8,-0.21995758230646018
17_8,-0.29390453412827344
16_4,-0.1720705413698233
17_14,-0.2342296032846043
16_2,-0.24980158908841535
17_12,-0.268267372955814
17_18,-0.35230395720444013
17_16,-0.09848531002393815
16_13,-0.1701380673708359
16_14,-0.16817840732591297
17_11,-0.11815833255171675
16_6,-0.20130777439976205
16_18,-0.14685740312235301
16_15,-0.19916427455319874
17_17,-0.30510904674826983
16_10,-0.14739546072170934
17_19,-0.1475093804508855
16_19,-0.15242710217349661
16_17,-0.2402101983430331
16_7,-0.2037224076052206
16_12,-0.1877105014971061
16_16,-0.15908759935173772
19_2,-0.2809056372389519
19_1,-0.3382576001278552
19_0,-0.13892985469743838
19_3,-0.15838766547100422
19_7,-0.23835317157622402
19_4,-0.17309272480301705
19_8,-0.261940503088858
19_6,-0.3258769279104582
19_17,-0.29620881938221044
19_5,-0.3380619524241773
19_14,-0.21093871616037685
19_10,-0.20879059367754907
19_9,0.03295352894508676
19_13,-0.07564224642325156
19_12,-0.2595309742233433
19_15,-0.2307366918699654
20_2,-0.11362998014895176
19_11,-0.09581369269741383
19_16,-0.1033646511625137
20_0,-0.19041364278399844
20_3,-0.09244413786259952
19_18,-0.3072451029576841
20_5,-0.13084231989713652
20_7,-0.12661324616625522
20_6,-0.1632199968034461
20_9,-0.18654157983462671
20_11,-0.21810433778669358
20_8,-0.19707278005944528
20_1,-0.3207203252149477
20_15,-0.08379876015453326
20_4,0.0006656194471147389
20_10,-0.2937739081654404
19_19,-0.16687807443077335
18_6,-0.14065887602903457
20_16,-0.08744420699340141
20_13,-0.22783643734274253
20_12,-0.1667917063870404
20_17,-0.07000033386589868
